2026-02-20 18:29:29,268 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 18:29:29,268 | INFO | DataBase.DataBase | Conectado no banco
2026-02-20 18:38:25,800 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 18:38:25,801 | INFO | DataBase.DataBase | Conectado no banco
2026-02-20 18:40:02,979 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 18:40:02,980 | INFO | DataBase.DataBase | Conectado no banco
2026-02-20 18:44:17,418 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 18:44:17,419 | INFO | DataBase.DataBase | Conectado no banco
2026-02-20 19:32:08,868 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 19:32:09,426 | INFO | DataBase.DataBase | Conexão e cursor fechados com sucesso
2026-02-20 19:32:46,813 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 19:32:47,402 | INFO | DataBase.DataBase | Conexão e cursor fechados com sucesso
2026-02-20 19:32:50,393 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 19:32:50,840 | INFO | DataBase.DataBase | Conexão e cursor fechados com sucesso
2026-02-20 19:35:24,010 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 19:35:24,511 | INFO | DataBase.DataBase | Cursor Fechado
2026-02-20 19:35:24,512 | INFO | DataBase.DataBase | Conexão e cursor fechados com sucesso
2026-02-20 19:35:26,025 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 19:35:26,468 | INFO | DataBase.DataBase | Cursor Fechado
2026-02-20 19:35:26,468 | INFO | DataBase.DataBase | Conexão e cursor fechados com sucesso
2026-02-20 19:35:52,235 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 19:35:52,923 | INFO | DataBase.DataBase | Cursor Fechado
2026-02-20 19:35:52,924 | INFO | DataBase.DataBase | Conexão e cursor fechados com sucesso
2026-02-20 19:35:55,995 | INFO | DataBase.DataBase | Conectou no banco
2026-02-20 19:35:56,609 | INFO | DataBase.DataBase | Cursor Fechado
2026-02-20 19:35:56,610 | INFO | DataBase.DataBase | Conexão e cursor fechados com sucesso
