2026-02-22 10:13:17,071 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 10:13:19,938 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 10:13:19,939 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 10:13:22,858 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 10:13:23,293 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 10:13:23,294 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 10:13:34,874 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 10:13:35,320 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 10:13:35,320 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 10:16:49,234 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 10:16:50,212 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 10:16:50,213 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 10:16:56,207 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 10:16:56,819 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 10:16:56,820 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 10:17:09,826 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 10:17:10,438 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 10:17:10,439 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 10:19:40,864 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 10:19:41,478 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 10:19:41,479 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 10:25:15,257 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 10:25:15,876 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 10:25:15,876 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 10:27:42,591 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 10:27:43,127 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 10:27:43,128 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:09:52,714 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:09:53,187 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:09:53,187 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:09:54,656 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:09:54,967 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:09:54,968 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:09:56,514 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:09:56,971 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:09:56,971 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:11:23,330 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:11:23,785 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:11:23,786 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:11:25,265 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:11:25,719 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:11:25,720 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:13:12,201 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:13:12,648 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:13:12,649 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:13:14,128 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:13:14,429 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:13:14,429 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:13:16,654 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:13:17,200 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:13:17,200 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:15:42,588 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:15:43,035 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:15:43,035 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:15:44,602 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:15:45,051 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:15:45,052 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:15:54,204 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:15:54,653 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:15:54,654 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:15:56,076 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:15:56,384 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:15:56,384 | INFO | DataBase.DataBase | Conexão fechada
2026-02-22 20:15:57,935 | INFO | DataBase.DataBase | Conectado ao banco com sucesso
2026-02-22 20:15:58,382 | INFO | DataBase.DataBase | Cursor fechado
2026-02-22 20:15:58,383 | INFO | DataBase.DataBase | Conexão fechada
